at,score,content,content_bersih,label_sentimen,content_final
2026-04-15 08:15:30,1,"mau login aja ribet banget, harus ini itu",mau login aja ribet banget harus ini itu,Negatif,login aja ribet banget
2026-04-15 01:36:47,5,pulihkan kbalih jek one mobil saya,pulihkan kbalih jek one mobil saya,Positif,pulih kbalih jek one mobil
2026-04-14 10:56:53,1,gak jelas banget masa nomer rekening salah mulu dari bank lain,gak jelas banget masa nomer rekening salah mulu dari bank lain,Negatif,gak banget nomer rekening salah mulu
2026-04-14 08:24:37,1,mau buka aj lamaaaaaaa banget sampe gak kebua aplikasinya niat kgk sih bikin aplikasi,mau buka aj lamaaaaaaa banget sampe gak kebua aplikasinya niat kgk sih bikin aplikasi,Negatif,buka aj lamaaaaaaa banget sampe gak bua aplikasi niat kgk sih bikin
2026-04-12 20:37:47,5,Alhamdulillah terimakasih jakone mobile gajian ku jadi mudah di cek lewat aplikasi,alhamdulillah terimakasih jakone mobile gajian ku jadi mudah di cek lewat aplikasi,Positif,alhamdulillah terimakasih gaji ku mudah cek
2026-04-12 12:32:00,1,mau dapetin kartu visa dimana gak jelas banget,mau dapetin kartu visa dimana gak jelas banget,Negatif,dapetin kartu visa mana gak banget
2026-04-10 18:10:51,1,"app sering eror, makan pulsa banyak buat kirim otp, cs ga gercep di anggurin 3 hari, ampunnn pokoknya pake bank ini",app sering eror makan pulsa banyak buat kirim otp cs ga gercep di anggurin hari ampunnn pokoknya pake bank ini,Negatif,eror makan pulsa kirim otp cs ga gercep anggurin ampunnn pokok pake
2026-04-10 12:09:28,2,"aplikasi lemot...pindah hp susah bener, data sdh benar, verif wajah model pinjol tengok kanan tengok kiri senyum... di ending diarahkan ke cabang...datang ke cabang jg tdk ada solusi...alasan aplikasi error....Ampun dah",aplikasi lemot pindah hp susah bener data sdh benar verif wajah model pinjol tengok kanan tengok kiri senyum di ending diarahkan ke cabang datang ke cabang jg tdk ada solusi alasan aplikasi error ampun dah,Negatif,lot pindah hp susah bener data sdh verif wajah model pinjol tengok kanan tengok kiri senyum ending arah cabang cabang jg tdk solusi alas error ampun dah
2026-04-09 22:41:03,4,ok,ok,Positif,ok
2026-04-09 17:13:18,1,"aplikasi jlk kode Verifikasi g masuk""",aplikasi jlk kode verifikasi g masuk,Negatif,jlk kode verifikasi g masuk
2026-04-09 11:17:51,1,"bisa tidak untuk jackcardnya kalau untuk cek saldo pakai app lain gak harus pakai jakone mobile dan juga kalau mw pakai jakone mobile tanpa harus registrasi dulu, udah registrasi lupa username dan paswod susah banget buat ambil datanya lagi",bisa tidak untuk jackcardnya kalau untuk cek saldo pakai app lain gak harus pakai jakone mobile dan juga kalau mw pakai jakone mobile tanpa harus registrasi dulu udah registrasi lupa username dan paswod susah banget buat ambil datanya lagi,Negatif,jackcardnya cek saldo pakai gak pakai mw pakai registrasi udah registrasi lupa username paswod susah banget ambil data
2026-04-09 10:15:03,3,serimg erro aplikasinya selalu tolong lebih diperbaiki kualitas pelayanan nya,serimg erro aplikasinya selalu tolong lebih diperbaiki kualitas pelayanan nya,Negatif,serimg erro aplikasi tolong baik kualitas layan
2026-04-08 19:25:43,5,saya agak kesulitan ketika hendak melanjutkan membuat aplikasi jek one mobile,saya agak kesulitan ketika hendak melanjutkan membuat aplikasi jek one mobile,Positif,sulit lanjut jek one
2026-04-07 20:58:23,1,BOBROK KLO MAKE QRIS NYANGKUT MULU NYUSAHIN KARYAWAN TOKO SAMA PEMBELI.,bobrok klo make qris nyangkut mulu nyusahin karyawan toko sama pembeli,Negatif,bobrok klo make qris nyangkut mulu nyusahin karyawan toko beli
2026-04-07 09:35:16,1,"BANK PALING GA JELAS YA CUMA INI, TRANSAKSI KEDEBIT TAPI TIDAK MASUK DAN UDAH LEBIH DARI 5 KALI DALAM BEBERAPA BULAN.",bank paling ga jelas ya cuma ini transaksi kedebit tapi tidak masuk dan udah lebih dari kali dalam beberapa bulan,Negatif,ga ya transaksi debit masuk udah kali
2026-04-06 20:58:18,1,"sering Banget Gangguan. tahun kemarin gangguan sampai 1 bulan. kalo sekarang gangguan ATM, Sampai² Saldo Rp. 100.000,- Lenyap.",sering banget gangguan tahun kemarin gangguan sampai bulan kalo sekarang gangguan atm sampai² saldo rp lenyap,Negatif,banget ganggu kemarin ganggu kalo ganggu atm sampai saldo rp lenyap
2026-04-05 23:05:37,1,"ini saya mau tanya ko saya tranfer ke dana hari minggu 5 april 2026 di pemberitahuan tranfer gagal saya ulang lagi tetap gagal, tapi kenapa saldo saya tetep ke potong bisa di jelaskan",ini saya mau tanya ko saya tranfer ke dana hari minggu april di pemberitahuan tranfer gagal saya ulang lagi tetap gagal tapi kenapa saldo saya tetep ke potong bisa di jelaskan,Negatif,ko tranfer dana minggu april pemberitahuan tranfer gagal ulang gagal saldo tetep potong
